id,text,category,severity,lang
1,"እሳት በመካከለኛ ሱቅ ላይ ተነሳ። ሰዎች በፍጥነት እየሸሹ ናቸው።","FIRE",4,"am"
2,"Major car crash near Bole bridge, two people trapped in the vehicle","TRAFFIC",4,"en"
3,"Power line fell during heavy rain, road is blocked, no injuries reported yet","INFRASTRUCTURE",2,"en"
4,"ታካሚ ሰው በመንገድ ላይ ወድቆ ቀርቷል፣ እርዳታ ያስፈልጋል","MEDICAL",3,"am"
5,"Armed robbery reported near Megenagna, suspects fled in a car","CRIME",3,"en"
6,"የቤት ውስጥ እሳት በቀለለ፣ ሰዎች እየተለዩ ናቸው","FIRE",4,"am"
7,"Traffic jam caused by minor fender bender on Ring Road, no injuries","TRAFFIC",1,"en"
8,"የመንግስት ኃይል ተቋርጧል፣ ህዝብ በጨለማ ነው በርካታ ሰዓታት","INFRASTRUCTURE",2,"am"
9,"Elderly woman collapsed in Merkato market, appears to be having breathing difficulty. Medical team needed urgently.","MEDICAL",4,"en"
10,"Noise complaint about loud music near Mexico Square, seems like a non-incident.","OTHER",0,"en"
11,"የመንገድ ዝርፊያ ሪፖርት ተደርጓል፣ አጥቂው በቢላዋ ነበር።","CRIME",3,"am"
12,"Small fire in a trash bin in Kazanchis, quickly contained. No major damage.","FIRE",1,"en"
13,"አምስት ተሽከርካሪዎች የተጋጩበት ከባድ አደጋ በሳሪስ መስመር፣ ሁለት ሰዎች ከባድ ጉዳት ደርሶባቸዋል።","TRAFFIC",5,"am"
14,"A massive sinkhole opened up on the main road, completely blocking all four lanes. It's a huge problem.","INFRASTRUCTURE",5,"en"
15,"Pedestrian hit by a Bajaj near Piassa. Conscious but with serious leg injury.","MEDICAL",4,"en"
16,"A wallet was stolen from a tourist in a coffee shop downtown. The suspect is gone.","CRIME",1,"en"
17,"Fire at an apartment building, people are trapped on the upper floors. Send all available units!","FIRE",5,"en"
18,"አነስተኛ የእሳት አደጋ በኤሌክትሪክ ሽቦ ምክንያት፣ ወዲያውኑ ጠፋ።","FIRE",1,"am"
19,"Minor accident on the highway, just a flat tire and a little delay.","TRAFFIC",1,"en"
20,"የውሃ ቱቦ ፈንድቶ ጎርፍ አስከትሏል፣ የጠቅላላው ሰፈር መንገድ ተዘጋግቷል።","INFRASTRUCTURE",3,"am"
21,"Suspicious package found outside the ministry building. The area is being evacuated.","OTHER",3,"en"
22,"የልብ ድካም የተከሰተ ሰው በቤተክርስቲያን አቅራቢያ፣ ቶሎ እርዳታ ያስፈልጋል።","MEDICAL",5,"am"
23,"Three men breaking into a closed business on Saturday night. Police are responding.","CRIME",3,"en"
24,"Minor traffic congestion due to a ceremonial procession. Not an accident.","TRAFFIC",0,"en"
25,"የመብራት መቆራረጥ በሙሉ ሰፈር ውስጥ፣ ለሰዓታት ቆይቷል እና የትምህርት ቤት ሥራ አቋርጧል።","INFRASTRUCTURE",2,"am"
26,"Man unconscious on the side of the road, unknown cause. Needs immediate medical help.","MEDICAL",5,"en"
27,"Huge wildfire approaching the city outskirts, life-threatening danger to nearby homes.","FIRE",5,"en"
28,"A tree fell across the road near CMC, traffic is slowly diverting.","INFRASTRUCTURE",2,"en"
29,"A drunken fight broke out in a local bar. One person has minor cuts.","CRIME",2,"en"
30,"ድመት በዛፍ ላይ ወጥታ ወርዷል፣ ምንም ችግር የለም።","OTHER",0,"am"
31,"Two vehicles sideswiped each other, no visible damage, just a verbal argument.","TRAFFIC",0,"en"
32,"አንድ ሕፃን ታሞበታል ከፍተኛ ትኩሳት አለው።","MEDICAL",3,"am"
33,"Gas leak reported in a factory in the industrial zone. Possible explosion risk.","FIRE",4,"en"
34,"Attempted car theft near Sarbet, the suspect was scared away by a security guard.","CRIME",2,"en"
35,"Light rain but the power went out. It's just noise, it happens every week.","INFRASTRUCTURE",0,"en"
36,"Minor injury from a fall on a construction site. Not life-threatening, but needs bandaging.","MEDICAL",2,"en"
37,"ሰዎች ያለ ምክንያት መንገድ ላይ እየተጣሉ ነው። ፖሊስ አስፈልጓል።","CRIME",2,"am"
38,"A large truck lost its load of goods on the ring road, causing extreme congestion.","TRAFFIC",3,"en"
39,"የማዕከላዊው የኮምፒውተር መረብ ወድቋል፣ የከተማው አገልግሎት ቆሟል።","INFRASTRUCTURE",4,"am"
40,"Children playing loudly in the park after hours. Not an emergency.","OTHER",0,"en"
41,"እሳት በፍጥነት በአንድ የገበያ አዳራሽ እየተሰራጨ ነው፣ ግዙፍ ጉዳት ሊደርስ ይችላል።","FIRE",5,"am"
42,"Report of illegal dumping of waste in a residential area.","OTHER",1,"en"
43,"አውቶብስ ከመኪና ጋር ተጋጨ፣ በርካታ ሰዎች ተጎድተዋል፣ አምቡላንስ አስፈልጓል።","TRAFFIC",4,"am"
44,"Woman gave birth unexpectedly at home, both mother and baby are stable but need transport.","MEDICAL",2,"en"
45,"Suspicious person loitering and watching cars in the parking lot. Police check needed.","CRIME",1,"en"
46,"የስልክ ገመዶች ተቆርጠዋል፣ የአካባቢው ግንኙነት ተቋርጧል።","INFRASTRUCTURE",1,"am"
47,"Small kitchen fire in a third-floor flat, fire suppression systems working.","FIRE",2,"en"
48,"A dog was rescued from a drain, non-emergency service call.","OTHER",1,"en"
49,"A tourist complained of food poisoning, feeling weak but not critical.","MEDICAL",1,"en"
50,"የባንክ ዘራፊዎች በጠመንጃ ባንክ ዘርፈው ሄደዋል። ብዙ ገንዘብ ወስደዋል::","CRIME",4,"am"
51,"Multiple cars involved in a chain reaction crash on the main road, total gridlock and serious injuries likely.","TRAFFIC",5,"en"
52,"ታካሚ በመስኮት ወድቋል፣ ወዲያውኑ የህክምና እርዳታ ያስፈልጋል::","MEDICAL",5,"am"
53,"Illegal construction activity reported in a protected green zone.","OTHER",1,"en"
54,"A transformer blew up in Lideta, causing localized power outage and smoke.","INFRASTRUCTURE",3,"en"
55,"የመንገድ ዝርፊያ ሙከራ ተደረገ፣ አጥቂው ሽጉጥ ይዞ ነበር ነገር ግን ሸሸ።","CRIME",4,"am"
56,"House fire quickly spreading to the next building.","FIRE",5,"en"
57,"Minor accident, two cars bumped, no visible damage and no police needed.","TRAFFIC",0,"en"
58,"የውሃ መቋረጥ በሰሜናዊው የከተማ ክፍል፣ ህዝቡ ውሃ ፍለጋ ላይ ነው።","INFRASTRUCTURE",2,"am"
59,"Man experiencing severe chest pain and dizziness at a coffee shop.","MEDICAL",4,"en"
60,"Report of someone yelling and swearing outside an apartment complex. Noise issue.","OTHER",0,"en"
61,"በአንድ ትምህርት ቤት አቅራቢያ የልጆች ጠለፋ ሙከራ።","CRIME",4,"am"
62,"Small electrical fire in the basement of a commercial building, already contained.","FIRE",2,"en"
63,"Bus and taxi collision near Stadium, few minor injuries reported.","TRAFFIC",3,"en"
64,"Cable fell onto a busy street, causing minor traffic delays. No danger.","INFRASTRUCTURE",1,"en"
65,"ታካሚ ሰው ሆስፒታል የመግቢያ መንገድ ላይ ወድቆ ቀርቷል፣ ንቃተ-ህሊና አጥቷል።","MEDICAL",5,"am"
66,"Shoplifting incident at a major supermarket, involving low-value goods.","CRIME",1,"en"
67,"Fire alarm triggered by smoke from cooking, not an actual fire.","FIRE",0,"en"
68,"የመኪና ብልሽት በመንገድ ዳር፣ ቀላል መዘግየት ብቻ።","TRAFFIC",1,"am"
69,"Heavy flooding after continuous rain, affecting multiple roads and forcing evacuations.","INFRASTRUCTURE",5,"en"
70,"Elderly man dehydrated and confused due to the heat. Needs immediate fluid replacement.","MEDICAL",3,"en"
